Id,Country,City,Lat,Lng
292,United States,Detroit,42.331427,-83.0457535
293,United States,San Jose,37.3393857,-121.8949585
294,United States,Jacksonville,30.3321838,-81.6556473
295,United States,Indianapolis,39.7683765,-86.1580429
296,United States,Columbus,39.9611755,-82.9987946
297,United States,San Francisco,37.7749295,-122.4194183
298,United States,Austin,30.267153,-97.7430573
299,United States,Memphis,35.1495343,-90.0489807
300,United States,New South Memphis,35.0867579,-90.0567551
301,United States,Fort Worth,32.725409,-97.3208466
302,United States,Baltimore,39.2903848,-76.6121902
303,United States,Charlotte,35.2270869,-80.8431244
304,United States,Boston,42.3584308,-71.0597763
305,United States,Milwaukee,43.0389025,-87.9064713
306,United States,South Boston,42.3334312,-71.0494919
307,United States,Seattle,47.6062095,-122.3320694
308,United States,El Paso,31.7587198,-106.4869308
309,United States,Denver,39.7391536,-104.9847031
310,United States,Washington,38.8951118,-77.0363693
311,United States,Portland,45.5234515,-122.6762085
312,United States,Oklahoma City,35.4675602,-97.5164261
313,United States,Nashville,36.1658899,-86.7844467
314,United States,Tucson,32.2217429,-110.9264755
315,United States,Albuquerque,35.0844909,-106.6511383
316,United States,New Orleans,29.9546482,-90.0750732
317,United States,Long Beach,33.7669623,-118.1892319
318,United States,Las Vegas,36.1749705,-115.1372223
319,United States,Sacramento,38.5815719,-121.4944
320,United States,Fresno,36.7477272,-119.7723694
321,United States,Cleveland,41.4994954,-81.6954117
322,United States,North Kansas City,39.130004,-94.5621796
323,United States,Kansas City,39.0997266,-94.5785675
324,United States,Virginia Beach,36.8529263,-75.9779816
325,United States,Atlanta,33.7489954,-84.3879852
326,United States,Oakland,37.8043722,-122.2708054
327,United States,Mesa,33.4222685,-111.8226395
328,United States,Tulsa,36.1539816,-95.992775
329,United States,Omaha,41.2586096,-95.9377899
330,United States,Miami,25.7742658,-80.1936569
331,United States,Honolulu,21.3069444,-157.8583374
332,United States,Minneapolis,44.9799654,-93.2638397
333,United States,Colorado Springs,38.8338816,-104.8213654
334,United States,Wichita,37.6922361,-97.3375473
335,United States,Santa Ana,33.7455731,-117.867836
336,United States,West Raleigh,35.7868182,-78.6638947
337,United States,Arlington,32.735687,-97.1080627
338,United States,Anaheim,33.8352932,-117.914505
339,United States,Tampa,27.9475216,-82.4584274
340,United States,Saint Louis,38.6272733,-90.1978912
341,United States,Pittsburgh,40.4406248,-79.9958878
342,United States,Toledo,41.6639383,-83.5552139
343,United States,Cincinnati,39.1620036,-84.4568863
344,United States,Riverside,33.9533487,-117.3961563
345,United States,Bakersfield,35.3732921,-119.0187149
346,United States,Stockton,37.9577016,-121.2907791
347,United States,Newark,40.735657,-74.1723633
348,United States,Buffalo,42.8864468,-78.8783722
349,United States,Corpus Christi,27.8005828,-97.3963776
350,United States,Aurora,39.7294319,-104.8319168
351,United States,Raleigh,35.772096,-78.6386108
352,United States,Saint Paul,44.9444101,-93.093277
353,United States,Lexington-Fayette,38.0497996,-84.4585495
354,United States,Anchorage,61.2180556,-149.9002838
355,United States,Plano,33.0198431,-96.6988831
356,United States,Saint Petersburg,27.7708606,-82.6792679
357,United States,Louisville,38.2542376,-85.759407
358,United States,Lincoln,40.8000011,-96.6669617
359,United States,Glendale,33.5386523,-112.1859894
360,United States,Henderson,36.0396988,-114.9819336
361,United States,Jersey City,40.7281575,-74.0776443
362,United States,Norfolk,36.8468146,-76.2852173
363,United States,Chandler,33.3061605,-111.8412476
364,United States,Greensboro,36.0726355,-79.7919769
365,United States,Birmingham,33.5206608,-86.8024902
366,United States,Fort Wayne,41.1306041,-85.1288605
367,United States,Lexington,37.9886892,-84.4777145
368,United States,Hialeah,25.8575963,-80.2781067
369,United States,Madison,43.0730517,-89.4012299
370,United States,Baton Rouge,30.4507462,-91.1545486
371,United States,Garland,32.912624,-96.6388855
372,United States,Modesto,37.6390972,-120.9968796
373,United States,Paradise,36.0971945,-115.1466675
374,United States,Chula Vista,32.6400541,-117.084198
375,United States,Lubbock,33.5778631,-101.8551636
376,United States,Rochester,43.1547845,-77.6155548
377,United States,Laredo,27.506407,-99.5075455
378,United States,Akron,41.0814447,-81.5190048
379,United States,Orlando,28.5383355,-81.3792343
380,United States,Durham,35.9940329,-78.8986206
381,United States,North Glendale,34.1605626,-118.2645187
382,United States,Scottsdale,33.5092103,-111.8990326
383,Andorra,Andorra la Vella,42.5051514,1.5150619
384,Andorra,les Escaldes,42.507287,1.5341377
385,Andorra,Encamp,42.5333333,1.5833333
386,Andorra,Sant Julia de Loria,42.4637237,1.4912868
387,Andorra,la Massana,42.5449867,1.5148258
388,Andorra,Canillo,42.5666667,1.6
389,Andorra,Pas de la Casa,42.5427734,1.7336082
390,Angola,Luanda,-8.8383333,13.2344446
391,Angola,Huambo,-12.7761111,15.7391663
392,Angola,Lobito,-12.3480556,13.5455561
393,Angola,Benguela,-12.5783333,13.4072218
394,Angola,Kuito,-12.3833333,16.9333324
395,Angola,Lubango,-14.9166667,13.5
396,Angola,Malanje,-9.5447222,16.3452778
397,Angola,Namibe,-15.1961111,12.1522226
398,Angola,Soyo,-6.1333333,12.3666668
399,Angola,Cabinda,-5.55,12.1999998
400,Angola,Uige,-7.6166667,15.0500002
401,Angola,Saurimo,-9.65,20.3999996
402,Angola,Sumbe,-11.2,13.833333
403,Angola,Caluquembe,-13.7833333,14.6833334
404,Angola,Caxito,-8.58,13.6641665
405,Angola,Longonjo,-12.9066667,15.2533331
406,Angola,Caala,-12.8525,15.5605555
407,Angola,Luena,-11.7833333,19.916666
408,Angola,Lucapa,-8.4166667,20.75
409,Angola,Camacupa,-12.0166667,17.4833336
410,Angola,Catabola,-12.15,17.2833328
411,Angola,Luau,-10.7,22.2333336
412,Angola,Catumbela,-12.4313889,13.5472221
413,Angola,Camabatela,-8.1833333,15.3666668
414,Angola,Waku Kungo,-11.35,15.1166668
415,Angola,Caconda,-13.7333333,15.0666666
416,Angola,Ondjiva,-17.0666667,15.7333336
417,Angola,Quibala,-10.7333333,14.9833336
418,Angola,Chissamba,-12.1666667,17.333334
419,Angola,Leua,-11.65,20.4500008
420,Angola,Lumeje,-11.55,20.7833328
421,Angola,Cazage,-11.0666667,20.7000008
422,Argentina,Buenos Aires,-34.5761256,-58.4088135
423,Argentina,Cordoba,-31.4,-64.1833344
424,Argentina,Rosario,-32.9511111,-60.6663895
425,Argentina,Mendoza,-32.8833333,-68.8166656
426,Argentina,San Miguel de Tucuman,-26.8166667,-65.2166672
427,Argentina,La Plata,-34.9313889,-57.9488907
